	MC	schuesslerLHC	schuesslerOC	zhengzhang	baxter-sagart	baxter1992	jinlixin	lifanggui	msoeg	msoegDK	starostinLO	starostinTK	wangli	zhoufagao	上古讀有
啵	幫一歌平														
嶓	幫一歌平			paːl						pˤai					✓
波	幫一歌平	pɑj	pâj	paːl	pˤaj	paj	par	par	pˁ[a]i（bō）	pˤai	paːj（bō）	paːj（bō）	puai	pwa	✓
紴	幫一歌平・滂三B支上			pʰralʔ・paːl				par・pʰjiarx		pʰ(r)aiʔ・pˤai				pwa・pʰiwa	✓
菠	幫一歌平			paːl											✓
簸	幫一歌上・幫一歌去	pɑjᴮ・pɑjᶜ	pâjʔ・pâjh	paːlʔ・paːls	pˤajʔ・pˤajʔ-s	pajs・pajʔ	parʔ・pars	parx・parh	pˁ[a]iʔ（bǒ）・pˁ[a]ih（bò）	pˤaiʔ・pˤaih	páːj（bǒ）		puai・puai	pwa・pwa	✓
駊	幫一歌上・滂一歌上			paːlʔ・pʰaːlʔ						pˤaiʔ・pʰˤaiʔ					✓
㝿	幫一歌上									pˤaiʔ				pwa	✓
播	幫一歌去	pɑjᶜ	pâjh	paːls	pˤar-s		pars	parh	pˁ[a]lh（bò）	pˤaih	paːnh（bò）		puai	pwa	✓
譒	幫一歌去	pɑjᶜ	pâjh	paːls				parh		pˤaih			puai	pwa	✓
𢿥	幫一歌去									pˤaih					✓
坡	滂一歌平	pʰɑj	pʰâj	pʰaːl				pʰar		pʰˤai			pʰuai	pʰwa	✓
玻	滂一歌平			pʰaːl						pʰˤai					✓
𡶅	滂一歌平														
𨸭	滂一歌平														
叵	滂一歌上			pkʰaːlʔ						pʰˤaiʔ			pʰuai		✓
笸	滂一歌上														
鉕	滂一歌上														
頗	滂一歌上・滂一歌去・滂一歌平	pʰɑj	pʰâj	pʰaːl・pʰaːlʔ・pʰaːls	pʰˤa[j]			pʰar・pʰarx・pʰarh	pʰˁ[a]i（pō）	pʰˤai・pʰˤaiʔ・pʰˤaih			pʰuai・pʰuai	pʰwa・pʰwa・pʰwa	✓
𡽠	滂一歌上									pʰˤaiʔ					✓
破	滂一歌去	pʰɑjᶜ	pʰâjh	pʰaːls	pʰˤaj-s	pʰajs	phars	pʰarh	pʰˁ[a]ih（pò）	pʰˤaih		pʰaːjh（pò）	pʰuai	pʰwa	✓
婆	並一歌平	bɑj	bâj	baːl	[b]ˤa[j]	baj	bar		bˁ[a]i（pó）	bˤai	b⁽ʱ⁾aːj（pó）		buai	bwa	✓
媻	並一歌平・並一寒平			baːl・baːn				ban		bˤan・bˤai			buan	bwan	✓
搫	並一歌平・並一寒平			baːl・baːn				ban		bˤan・bˤai				bwan	✓
皤	並一歌平・幫一歌平	bɑj	bâj	paːl・baːl	[b]ˤar			bar・par	bˁ[a]l（pó）	pˤai・bˤai	baːn（pó）		buai	bwa・pwa	✓
碆	並一歌平・幫一歌平			paːl・baːl						pˤai・bˤai					✓
蔢	並一歌平			baːl						bˤai					✓
鄱	並一歌平			baːl	[b]ˤar			bar	bˁ[a]l（pó）	bˤai			buai	bwa	✓
𩕏	並一歌平									bˤai					✓
爸	並一歌上			praːs・baʔ											✓
劘	明一歌平			maːl						mˤai			muai		✓
摩	明一歌平・明一歌去	mɑ・mɑj	mâj	maːl・maːls				mar・marh		mˤai・mˤaih			muai・muai	mwa・mwa	✓
蘑	明一歌平														
魔	明一歌平			maːl						mˤai			muai		✓
麽	明一歌平	mɨ̯ɑjᴮ	majʔ	maːl											✓
