Unicode		按	遺		現		擴	Baxter 白一平	TUPA（用現）	遺	現	遺	現
12295	〇		來開青平	✓	來開四青平		來開四〇青平	leng	leng		ling4		ling2
13313	㐁		透添去	✓	透開四添去	✓	透開四〇添去	themH	them③		tim3		tian4
13313	㐁		透覃去	✓	透開一覃去	✓	透開一〇覃去	thomH	thom③		taam3		tan4
13316	㐄		溪合二麻上		溪合二麻上	✓	溪合二〇麻上	khwaeX	khwae②		faa2		kua3
13316	㐄		溪合二麻去		溪合二麻去	✓	溪合二〇麻去	khwaeH	khwae③		faa3		kua4
13318	㐆		影欣上	✓	影開三C殷上	✓	影開三C殷上	j+nX	′yn②		jan2		yin3
13318	㐆		影開微平	✓	影開三C微平	✓	影開三C微平	j+j	′yj		ji1		yi1
13357	㐭		來侵上	✓	來開三侵上	✓	來開三〇侵上	limX	lim②		lam5		lin3
13361	㐱		章開眞上	✓	章開三真上	✓	章開三〇真上	tsyinX	tjin②		zan2		zhen3
13362	㐲		定開泰去	✓	定開一泰去	✓	定開一〇泰去	dajH	daj③		daai6		dai4
13368	㐸		溪嚴去	✓	溪開三C嚴去	✓	溪開三C嚴去	khjaemH	khyom③		him3		qian4
13377	㑁		知合眞入	✓	知合三真入	✓	知合三〇真入	trwit	trwit		zeot1		zhu
13379	㑃		影肴去	✓	影開二肴去	✓	影開二〇肴去	aewH	′aew③		aau3		yao4
13385	㑉		心三東入	✓	心三東入	✓	心〇三〇東入	sjuwk	suk		suk1		su
13399	㑗		書開眞平	✓	書開三真平	✓	書開三〇真平	syin	sjin		san1		shen1
13401	㑙		端添入	✓	端開四添入	✓	端開四〇添入	tep	tep		dip3		die
13403	㑛		心一東入	✓	心一東入	✓	心〇一〇東入	suwk	souk		suk1		su
13403	㑛		書鍾入	✓	書三鍾入	✓	書〇三〇鍾入	syowk	sjuok		suk1		shu
13404	㑜		以開祭去	✓	以開三祭去	✓	以開三〇祭去	yejH	jiej③		jai6		yi4
13404	㑜		徹開祭去	✓	徹開三祭去	✓	徹開三〇祭去	trhjejH	trhiej③		cai3		chi4
13406	㑞		以開蒸去	✓	以開三蒸去	✓	以開三〇蒸去	yingH	jyng③		jing6		ying4
13407	㑟		幫二庚上	✓	幫二庚上	✓	幫〇二〇庚上	paengX	paeng②		bang2		beng3
13413	㑥		以開支去	✓	以開三支去	✓	以開三〇支去	yeH	jie③		ji6		yi4
13414	㑦		來開齊去	✓	來開四齊去	✓	來開四〇齊去	lejH	lej③		lai6		li4
13422	㑮		匣魂平	✓	匣合一魂平	✓	匣合一〇魂平	hwon	ghon		wan4		hun2
13422	㑮		疑魂平	✓	疑合一魂平	✓	疑合一〇魂平	ngwon	ngon		ngan4		wen2
13424	㑰		以開陽去	✓	以開三陽去		以開三〇陽去	yangH	jyang③		joeng6		yang4
13427	㑳		孃咸入	✓	孃開二咸入	✓	孃開二〇咸入	nreap	nreep		naap6		na4
13427	㑳		崇尤去	✓	崇三尤去	✓	崇〇三〇尤去	dzrjuwH	dzru③		zau6		zhou4
13427	㑳		莊虞平	✓	莊合三虞平	✓	莊合三〇虞平	tsrju	tsruo		zo1		zhu1
13429	㑵		從開眞入	✓	從開三真入	✓	從開三〇真入	dzit	dzit		zat6		ji2
13435	㑻		明山入	✓	明二山入	✓	明〇二〇山入	meat	meet		maat6		ma4
13439	㑿		崇肴上	✓	崇開二肴上	✓	崇開二〇肴上	dzraewX	dzraew②		zaau6		zhao4
13444	㒄		日開仙上	✓	日開三仙上	✓	日開三〇仙上	nyenX	njien②		jin5		ran3
13444	㒄		書開仙上	✓	書開三仙上	✓	書開三〇仙上	syenX	sjien②		sin2		shan3
13445	㒅		溪開齊上	✓	溪開四齊上	✓	溪開四〇齊上	khejX	khej②		hai2		qi3
13447	㒇		明虞上	✓	明三C虞上	✓	明〇三C虞上	mjuX	muo②		mou5		wu3
13448	㒈		曉銜去	✓	曉開二銜去	✓	曉開二〇銜去	xaemH	haem③		haam3		xian4
13450	㒊		生侵入	✓	生開三侵入	✓	生開三〇侵入	srip	sryip		sap1		she
13451	㒋		心開支平	✓	心開三支平	✓	心開三〇支平	sje	sie		si1		si1
13452	㒌		羣合清平	✓	羣合三A清平	✓	羣合三A清平	gjwieng	gwiaeng		kwing4		qiong2
13459	㒓		透開寒入	✓	透開一寒入	✓	透開一〇寒入	that	that		taat3		ta
13460	㒔		定一東入	✓	定一東入	✓	定〇一〇東入	duwk	douk		duk6		du2
13460	㒔		常鍾入	✓	常三鍾入	✓	常〇三〇鍾入	dzyowk	djuok		suk6		shu2
13466	㒚		影欣去	✓	影開三C殷去	✓	影開三C殷去	j+nH	′yn③		jan3		yin4
13466	㒚		影魂上	✓	影合一魂上	✓	影合一〇魂上	wonX	′on②		wan2		wen3
13469	㒝		明元入	✓	明三C元入	✓	明〇三C元入	mjot	muot		maat6		wa4
13469	㒝		明先入	✓	明四先入	✓	明〇四〇先入	met	met		mit6		mie4
13471	㒟		泥蕭上	✓	泥開四蕭上	✓	泥開四〇蕭上	newX	new②		niu5		niao3
13472	㒠		匣開皆去	✓	匣開二皆去	✓	匣開二〇皆去	heajH	gheej③		haai6		xie4
13477	㒥		滂三東平	✓	滂三C東平	✓	滂〇三C東平	phjuwng	phung		fung1		feng1
13480	㒨		心開仙平	✓	心開三仙平		心開三〇仙平	sjen	sien		sin1		xian1
13488	㒰		從合仙平	✓	從合三仙平	✓	從合三〇仙平	dzjwen	dzwien		cyun4		quan2
13491	㒳		來開陽上	✓	來開三陽上	✓	來開三〇陽上	ljangX	lyang②		loeng5		liang3
13492	㒴		見魂入	✓	見合一魂入	✓	見合一〇魂入	kwot	kot		gwat1		gu
13496	㒸		邪合脂去	✓	邪合三脂去	✓	邪合三〇脂去	zwijH	zwi③		zeoi6		sui4
13497	㒹		端開先平	✓	端開四先平	✓	端開四〇先平	ten	ten		din1		dian1
13500	㒼		明寒平	✓	明一寒平	✓	明〇一〇寒平	man	man		mun4		man2
13501	㒽		溪合B仙平	✓	溪合三B仙平	✓	溪合三B仙平	khjwen	khuen		hyun1		quan1
13502	㒾		以開支去	✓	以開三支去	✓	以開三〇支去	yeH	jie③		ji6		yi4
13502	㒾		書開支去	✓	書開三支去	✓	書開三〇支去	syeH	sjie③		si3		shi4
13507	㓃		知開二麻去	✓	知開二麻去	✓	知開二〇麻去	traeH	trae③		zaa3		zha4
13507	㓃		端模去	✓	端一模去	✓	端〇一〇模去	tuH	to③		dou3		du4
13508	㓄		知侵去	✓	知開三侵去	✓	知開三〇侵去	trimH	trim③		zam3		zhen4
13514	㓊		定一東去	✓	定一東去	✓	定〇一〇東去	duwngH	doung③		dung6		dong4
13526	㓖		幫A眞入	✓	幫三A真入	✓	幫〇三A真入	pjit	pit		bat1		bi
13528	㓘		心三東入	✓	心三東入		心〇三〇東入	sjuwk	suk		suk1		su
13530	㓚		見一東平	✓	見一東平	✓	見〇一〇東平	kuwng	koung		gung1		gong1
13533	㓝		匣開青平	✓	匣開四青平	✓	匣開四〇青平	heng	gheng		hing4		xing2
13534	㓞		溪開山入	✓	溪開二山入	✓	溪開二〇山入	kheat	kheet		haat3		qia
13536	㓠		端添上	✓	端開四添上	✓	端開四〇添上	temX	tem②		dim2		dian3
13538	㓢		來開唐入	✓	來開一唐入	✓	來開一〇唐入	lak	lak		lok6		luo4
