# Database that maps pinyin readings to their closest Tshet'hyun (Qieyun) equivalents.
# Pinyin readings tabulated from CEDict. Tshet'hyun (Qieyun) phonetic glosses sourced from multiple databases; syntax follows earlier versions of nk2028.
# No tone: Standard Mandarin unpredictable (入); 
# not to be confused with syllables with neutral tone ('Tone 5'), which are not assigned expected_readings.
# character counts are from CC-CEDICT (https://www.mdbg.net/chinese/dictionary?page=cedict). CEDICT is licensed under a Creative Commons Attribution-ShareAlike 4.0 International License.
character	attested_reading	expected_reading	QY	singchar_ count	multchar_ count	char_total_count
不	bu4	fu	幫文入	1	2021	2169
不	bu5			0	145	2169
不	bu2	fu	幫文入	0	2	2169
縣	xian4	xuan4	匣合先去	1	1863	1864
大	da4	dai4	定開泰去	1	1737	1747
大	dai4		定開泰去	1	5	1747
大	da2	dai4	定開泰去	0	2	1747
大	da1	dai4	定開泰去	0	1	1747
子	zi5			1	1037	1660
子	zi3		精之上	1	621	1660
人	ren2		日開眞平	1	1569	1583
人	ren5			0	13	1583
區	qu1		溪虞平	1	1246	1249
區	ou1		影侯平	1	1	1249
一	yi1	yi	影開A眞入	1	1158	1160
一	yi5			0	1	1160
山	shan1		生開山平	2	1011	1013
國	guo2	guo	見合登入	2	998	1000
學	xue2		匣江入	1	952	953
市	shi4		常之上	1	948	949
中	zhong1		知三東平	2	865	937
中	zhong4		知三東去	1	69	937
地	di4		定開脂去	1	913	929
地	de5			1	13	929
地	di5			0	1	929
水	shui3		書合脂上	2	871	875
水	shui5			0	2	875
頭	tou2		定侯平	1	742	854
頭	tou5			1	110	854
心	xin1		心侵平	1	845	848
心	xin5			0	2	848
斯	si1		心開支平	2	833	835
生	sheng1		生開三庚平	1	811	830
生	sheng5			0	18	830
爾	er3		日開支上	1	782	783
兒	r5			1	650	779
兒	er2		日開支平	1	126	779
兒	er5			0	1	779
無	wu2		明虞平	1	771	774
無	mo2			0	1	774
無	wu1	wu2	明虞平	0	1	774
天	tian1		透開先平	1	747	748
自	zi4		從開脂去	1	744	747
自	zi1	zi4	從開脂去	0	1	747
自	zi5			0	1	747
馬	ma3		明二麻上	2	729	732
馬	ma5			0	1	732
性	xing4		心開清去	1	691	695
性	xing5			0	3	695
家	jia1		見開二麻平	2	676	689
家	jia5			0	10	689
家	gu1			0	1	689
拉	la1	la4	來覃入	1	678	687
拉	la5			0	5	687
拉	la3	la4	來覃入	0	2	687
拉	la4		來覃入	0	1	687
有	you3		云尤上	1	684	685
海	hai3		曉咍上	2	670	672
動	dong4		定一東上	1	658	659
白	bai2	bo2	並二庚入	2	649	655
白	bai5			0	4	655
小	xiao3		心宵上	1	648	649
機	ji1		見開微平	2	628	630
會	hui4		匣合泰去	1	617	626
會	kuai4	gui4	見合泰去	1	7	626
化	hua4		曉合二麻去	1	620	624
化	hua1	hua4	曉合二麻去	1	2	624
金	jin1		見B侵平	2	621	623
安	an1		影開寒平	2	615	617
行	xing2	heng2	匣開二庚平	1	488	613
行	hang2		匣開唐平	1	120	613
行	xing4	heng2	匣開二庚平	0	1	613
行	heng2		匣開二庚平	0	1	613
行	xing5			0	1	613
西	xi1		心開齊平	2	603	611
西	xi5			0	6	611
花	hua1		曉合二麻平	2	598	602
花	hua5			0	2	602
氣	qi4		溪開微去	1	571	600
氣	qi5			0	28	600
公	gong1		見一東平	1	582	587
公	gong5			0	4	587
高	gao1		見豪平	2	585	587
上	shang4		常開陽去; 常開陽上	1	557	585
上	shang5			0	24	585
上	shang3	shang4	常開陽去; 常開陽上	1	2	585
體	ti3		透開齊上	1	575	578
體	ti1	ti3	透開齊上	0	2	578
法	fa3	fa	幫凡入	2	567	570
法	fa5			0	1	570
克	ke4	ke	溪開登入	1	568	569
物	wu4		明文入	1	566	568
物	wu5			0	1	568
電	dian4		定開先去	1	565	566
長	chang2		澄開陽平	1	383	559
長	zhang3		知開陽上	1	174	559
三	san1		心談平	2	549	552
三	san3	san4	心談去	0	1	552
分	fen1		幫文平	1	484	547
分	fen4		並文去	1	54	547
分	fen5			0	7	547
平	ping2		並三庚平	2	544	546
事	shi4	zhi4	崇之去; 莊之去	1	523	539
事	shi5			0	15	539
手	shou3		書尤上	1	533	537
手	shou5			0	3	537
利	li4		來開脂去	2	525	529
利	li5			0	2	529
力	li4		來開蒸入	2	523	528
力	li5			0	3	528
文	wen2		明文平	2	523	525
出	chu1	chu	昌合眞入	1	520	523
出	chu5			0	2	523
之	zhi1		章之平	1	519	520
口	kou3		溪侯上	1	514	519
口	kou5			0	3	519
口	luo2	kou3	溪侯上	0	1	519
下	xia4		匣開二麻上; 匣開二麻去	1	505	518
下	xia5			0	12	518
特	te4	de2	定開登入	1	513	514
理	li3		來之上	1	506	512
理	li5			0	5	512
道	dao4		定豪上	1	491	506
道	dao5			0	14	506
南	nan2		泥覃平	2	501	504
南	na1	nan2	泥覃平	0	1	504
開	kai1		溪咍平	1	498	501
開	kai5			0	2	501
亞	ya4		影開二麻去	2	494	496
德	de2	de	端開登入	2	493	495
數	shu4		生虞去	1	439	494
數	shu3		生虞上	1	45	494
數	shuo4	shuo	生江入	1	3	494
數	shu5			0	4	494
合	he2		匣覃入	1	487	493
合	ge3	ge	見覃入	1	2	493
合	he5			0	2	493
新	xin1		心開眞平	2	490	492
門	men2		明魂平	2	486	491
門	men5			0	3	491
語	yu3		疑魚上	1	482	485
語	yu4		疑魚去	1	0	485
語	yu5			0	1	485
多	duo1		端開一歌平	1	483	484
主	zhu3		章虞上	1	482	483
風	feng1		幫三東平	1	475	476
車	che1		昌開三麻平	2	465	470
車	ju1		見魚平	1	2	470
城	cheng2		常開清平	1	468	469
日	ri4		日開眞入	2	462	464
時	shi2		常之平	2	462	464
發	fa1	fa	幫元入	1	462	464
發	fa5			0	1	464
成	cheng2		常開清平	2	456	459
成	cheng5			0	1	459
石	shi2		常開清入	2	452	459
石	dan4	shi2	常開清入	1	3	459
石	shi1	shi2	常開清入	0	1	459
巴	ba1		幫二麻平	2	412	443
巴	ba5			0	29	443
工	gong1		見一東平	1	440	442
工	ei1	gong1	見一東平	0	1	442
通	tong1		透一東平	1	438	441
通	tong4			1	0	441
通	tong5			0	1	441
打	da3	deng3	端開二庚上	1	426	439
打	da2	deng3	端開二庚上	1	9	439
打	da5			0	2	439
者	zhe3		章開三麻上	1	434	435
器	qi4		溪開B脂去	1	429	430
定	ding4		定開青去; 端開青去	1	426	427
州	zhou1		章尤平	1	424	425
神	shen2		船開眞平	2	421	425
神	shen5			0	2	425
東	dong1		端一東平	2	421	423
族	zu2		從一東入	1	420	421
阿	a1	e1	影開一歌平	2	400	419
阿	e1		影開一歌平	1	16	419
外	wai4	wei4	疑合泰去	1	415	416
義	yi4		疑開B支去	2	413	416
義	yi5			0	1	416
光	guang1		見合唐平	1	412	413
可	ke3		溪開一歌上	1	410	413
可	ke4	ke3	溪開一歌上	1	1	413
眼	yan3		疑開山上	1	409	411
眼	yan5			0	1	411
羅	luo2		來開一歌平	2	396	411
羅	luo1	luo2	來開一歌平	0	11	411
羅	luo5			0	2	411
面	mian4		明A仙去	1	409	411
面	mian5			0	1	411
明	ming2		明三庚平	2	394	408
明	ming5			0	12	408
紅	hong2		匣一東平	2	402	405
紅	gong1	hong2	匣一東平	0	1	405
病	bing4		並三庚去	1	398	401
病	bing5			0	2	401
陽	yang2		以開陽平	1	397	399
陽	yang5			0	1	399
空	kong1		溪一東平	1	360	398
空	kong4		溪一東去	1	36	398
相	xiang1		心開陽平	2	266	397
相	xiang4		心開陽去	1	128	397
里	li3		來之上	2	390	396
里	li5			0	4	396
民	min2		明A眞平	2	389	391
線	xian4		心開仙去	1	390	391
重	zhong4		澄鍾上; 澄鍾去	1	231	391
重	chong2		澄鍾平	1	158	391
點	dian3		端添上	1	389	391
點	dian5			0	1	391
方	fang1		幫陽平	2	380	389
方	fang5			0	7	389
流	liu2		來尤平	1	388	389
江	jiang1		見江平	2	386	388
黃	huang2		匣合唐平	2	385	387
加	jia1		見開二麻平	2	382	384
林	lin2		來侵平	2	378	380
作	zuo4		精開一歌去	1	371	378
作	zuo1	zuo	精開唐入	1	2	378
作	zuo5			0	2	378
作	zuo2	zuo	精開唐入	0	1	378
色	se4	she	生開蒸入	1	366	378
色	shai3	she	生開蒸入	1	10	378
路	lu4		來模去	2	375	378
路	lu5			0	1	378
老	lao3		來豪上	1	375	377
老	lao5			0	1	377
河	he2		匣開一歌平	1	375	376
經	jing1		見開青平	2	372	374
名	ming2		明清平	1	369	370
龍	long2		來鍾平	2	365	367
本	ben3		幫魂上	1	364	365
字	zi4		從之去	1	361	364
字	zi5			0	2	364
得	de2	de	端開登入	1	251	364
得	de5			1	103	364
得	dei3	de	端開登入	1	6	364
得	de4	de	端開登入	0	1	364
火	huo3		曉合一歌上	2	361	364
火	huo5			0	1	364
鄉	xiang1		曉開陽平	1	361	362
來	lai2		來咍平	1	339	360
來	lai5			0	20	360
用	yong4		以鍾去	1	354	356
用	yong5			0	1	356
音	yin1		影B侵平	1	354	356
音	yin5			0	1	356
年	nian2		泥開先平	2	349	351
意	yi4		影之去	2	341	351
意	yi5			0	8	351
北	bei3	bo	幫登入	1	349	350
治	zhi4		澄之去; 澄開脂去	1	348	349
美	mei3	mi3	明B脂上	2	345	348
美	mai3	mi3	明B脂上	0	1	348
二	er4		日開脂去	1	345	347
二	er2	er4	日開脂去	0	1	347
書	shu1		書魚平	2	345	347
交	jiao1		見肴平	1	345	346
科	ke1	kuo1	溪合一歌平	1	342	343
業	ye4		疑嚴入	2	338	340
後	hou4		匣侯上; 匣侯去	1	336	337
黑	hei1	he	曉開登入	2	334	336
同	tong2		定一東平	1	327	335
同	tong5			0	5	335
同	tong4	tong2	定一東平	0	2	335
布	bu4		幫模去	1	333	335
布	bu3	bu4	幫模去	0	1	335
情	qing2		從開清平	1	328	335
情	qing5			0	6	335
木	mu4		明一東入	2	333	335
