〇	leng1
㐁	them3
㐁	thom3
㐄	khwae2
㐄	khwae3
㐆	jïn2
㐆	jïj1
㐭	lim2
㐱	tsyin2
㐲	daj3
㐸	khjaem3
㑁	trwit4
㑃	aew3
㑉	sjuwk4
㑗	syin1
㑙	tep4
㑛	suwk4
㑛	syowk4
㑜	yej3
㑜	trhjej3
㑞	ying3
㑟	paeng2
㑥	ye3
㑦	lej3
㑮	hwon1
㑮	ngwon1
㑰	yang3
㑳	nreap4
㑳	dzrjuw3
㑳	tsrju1
㑵	dzit4
㑻	meat4
㑿	dzraew2
㒄	nyen2
㒄	syen2
㒅	khej2
㒇	mju2
㒈	xaem3
㒊	srip4
㒋	sje1
㒌	gjwieng1
㒓	that4
㒔	duwk4
㒔	dzyowk4
㒚	jïn3
㒚	won2
㒝	mjot4
㒝	met4
㒟	new2
㒠	heaj3
㒥	phjuwng1
㒨	sjen1
㒰	dzjwen1
㒳	ljang2
㒴	kwot4
㒸	zwij3
㒹	ten1
㒼	man1
㒽	khjwen1
㒾	ye3
㒾	sye3
㓃	trae3
㓃	tu3
㓄	trim3
㓊	duwng3
㓖	pjit4
㓘	sjuwk4
㓚	kuwng1
㓝	heng1
㓞	kheat4
㓠	tem2
㓢	lak4
㓣	kheap4
㓤	kheat4
㓱	duw1
㓳	tej1
㓷	ngjej3
㓹	tshjwej3
㓺	kjon1
㓻	kang1
㓼	tsrhi2
㓼	tsrhit4
㓽	dzrjuwng3
㓽	dzrjuwng1
㔂	lin3
㔄	sjowk4
㔆	dzom2
㔊	tsyen2
㔋	lam3
㔋	haem2
㔋	kaem3
㔋	kaem1
㔌	dzuw3
㔌	dzuw1
㔍	tsrhjwet4
㔍	tsrhwaet4
㔎	sjet4
㔎	ngit4
㔏	lek4
㔒	hwej1
㔓	kjon2
㔗	bjïj3
㔙	paeng1
㔝	ljang2
㔞	khweaj1
㔠	xaet4
㔡	pet4
㔢	tsjwet4
㔣	lwoj3
㔣	lwoj1
㔥	bea2
㔩	op4
㔪	lu2
㔮	na1
㔯	zjwen1
㔲	kwij2
㔴	yik4
㔶	kuwng3
㔶	kom2
㔸	thej1
㔹	lok4
㔻	phij1
㕀	yuw1
㕆	hu2
㕆	tu2
㕇	lop4
㕈	oj2
㕈	woj3
㕈	jïj2
㕊	phju1
㕋	gim1
㕎	khap4
㕒	ngjwe1
㕗	yuw2
㕙	tshwin1
㕙	tswin3
㕚	tsraew2
㕛	hjuw2
㕞	srjwet4
㕟	khweaj3
㕡	xak4
㕢	haej3
㕢	koj3
㕣	ywen2
㕦	hwae3
㕧	xij3
㕬	tsyowng1
㕭	aew1
㕮	bju2
㕮	pju2
㕯	nrweat4
㕯	nywet4
㕯	nwot4
㕰	xaewk4
㖃	huw2
㖃	xuw2
㖃	xuw3
㖅	swit4
㖏	net4
㖑	xeaj3
㖒	dej1
㖘	tsyin1
㖟	dzyuw3
㖥	gwin2
㖩	tsju1
㖪	xweak4
㖷	dzye1
㗁	ngak4
㗉	ljak4
㗊	tsrip4
㗔	khjen1
㗕	kuw1
㗗	pje2
㗗	pje1
㗘	pak4
㗙	nreap4
㗚	lit4
㗛	sjew3
㗢	howng3
㗢	howng1
㗢	duwng3
㗤	tsjuwk4
㗦	law1
㗧	trit4
㗧	tet4
㗨	xea1
㗩	sip4
㗫	tshet4
㗬	trhae1
㗱	tsip4
㗲	hweak4
㗴	ngean1
㗵	xjut4
㗻	hwa1
㗻	kwa1
㗼	ngjaep4
㗾	xjwa1
㗿	xa2
㗿	xae2
㗿	xae3
㘀	tswak4
㘀	tsak4
㘁	yek4
㘆	thoj2
㘈	ngi3
㘈	ngik4
㘉	tsrit4
㘋	hen2
㘋	hen1
㘌	gjaek4
㘍	tsit4
㘓	lan1
㘙	ngjaek4
㘝	nrip4
㘝	nreap4
㘠	pik4
㘣	xwen1
㘣	zjwen1
㘥	yuw1
㘨	nep4
㘰	tsyim1
㘱	tham1
㘲	kjuwk4
㘻	jin1
㘿	net4
㙀	ljuw3
㙁	mjuwk4
㙃	peang1
㙄	bej2
㙇	trhjowk4
㙊	drjang1
㙏	phjuwk4
㙙	ljowng2
㙠	ej3
㙠	ej1
㙡	tsjowng1
㙤	xae3
㙨	gjïj1
㙩	ljew3
㙩	lew1
㙪	ij3
㙪	ej3
㙱	haw3
㙲	jowng3
㙴	tsyhem3
㙷	drip4
㙷	drjep4
㙻	drjen1
㚀	xje1
㚁	khjew3
㚂	nang3
㚃	jun1
㚅	ljuwng1
㚆	bjuwk4
㚇	tsuwng3
㚇	tsuwng1
㚊	khoj1
㚋	tew1
㚍	khwoj2
㚒	syek4
㚒	syem2
㚔	heang2
㚔	nrjep4
㚖	tsyhek4
㚖	kaw2
㚗	dzjae1
㚘	ban2
㚛	xet4
㚛	xej3
㚜	hwik4
㚠	xew1
㚠	khjiew1
㚢	nu1
㚤	yik4
㚫	sop4
㚲	tsyhep4
㚲	tsyhem1
㚷	nrea2
㛁	pheang1
㛂	nwa2
㛂	ngwa2
㛄	jïj1
㛅	nyi3
㛆	twa3
㛊	twa3
㛍	xjem2
㛍	xep4
㛍	khep4
㛐	saw2
㛑	tshan3
㛒	duw3
㛗	swa1
㛗	tshwa1
㛘	phwot4
㛥	thop4
㛧	mam2
㛪	jaem3
㛮	saw2
㛱	woj2
㛳	yej3
㛳	tsyej3
㛴	naw2
㛶	than3
㛹	bjien1
㛼	tsrheap4
㜂	pjowng1
㜅	xjuwk4
㜇	jwie3
㜊	trjen2
㜌	khuw3
㜎	hej1
㜓	top4
㜗	tshom2
㜗	tshop4
㜗	tshom1
㜘	tsjae1
㜝	ngom2
㜝	hom2
㜢	lju2
㜣	nyen1
㜣	syen2
㜣	nen3
㜤	syim2
㜤	nem2
㜪	srin1
㜮	lam3
㜰	yak4
㜰	syak4
㜲	yeng1
㜳	hweaj1
㜵	new2
㜷	mjie1
㜸	ngjet4
㜺	dzan3
㜺	tsan3
㜽	tsi2
㝂	tsyej3
㝃	mjen2
㝃	mjon2
㝅	nuw2
㝅	kuw3
㝈	srjwen3
㝈	srwaen3
㝌	yuw2
㝌	kjuw3
㝏	keaj3
㝐	yowng1
㝖	ngje1
㝗	lang2
㝗	lang1
㝞	ae1
㝢	hju2
㝣	et4
㝣	ej3
㝤	kuw3
㝩	khang2
㝩	khang1
㝪	tep4
㝪	tem3
㝯	gjew1
㝰	men1
㝱	mjuwng3
㝸	bjen3
㝻	gin3
㝼	ju1
㝾	tsa2
㝾	tsa3
㝿	pa2
㞁	yew3
㞂	thwoj2
㞄	om2
㞄	om1
㞆	khje3
㞆	kje2
㞇	woj2
㞋	nrjen2
㞋	nywen2
㞏	drip4
㞒	xeaj3
㞓	khjij3
㞕	swot4
㞙	new3
㞚	tsrhip4
㞚	sraep4
㞚	tsreap4
㞛	kij2
㞜	thwoj1
㞟	den3
㞟	teng2
㞡	trjen2
㞢	tsyi1
㞣	bjun1
㞣	phjun1
㞥	dzrim1
㞦	kij2
㞷	gjwang1
㞽	xjwot4
㟅	luwng1
㟅	nguwng1
㟅	ngaewng1
㟉	law1
㟋	dwaj3
㟌	maewng1
㟍	lang1
㟎	thwa2
㟎	thwoj2
㟏	xom1
㟐	mang2
㟐	mang3
㟛	dzam2
㟞	dzrean2
㟪	jwïj1
㟳	lit4
㟸	kaw1
㟺	lju1
㟽	pjiew2
㟾	yowng1
㠀	taw2
㠆	tan1
㠇	dzjuw3
㠊	khjo1
㠍	tsip4
㠐	gjew1
㠑	dzwij2
㠑	dzwoj2
㠒	pjiew1
㠔	pea3
㠖	ngje2
㠛	waek4
㠝	dzwan1
㠠	ljo1
㠢	hweaj1
㠥	lwij1
㠦	phjuwng1
㠭	trjen2
㠯	yi2
㠴	nyit4
㠵	xwang1
㠷	kop4
㠸	pju1
㠹	keaj3
㠺	mjiew1
㠽	downg1
㠾	jwon1
㠿	tsje1
㡀	bjiej3
㡁	khwae2
㡅	na2
㡆	xwang1
㡇	trjep4
㡇	tem1
㡇	thep4
㡉	ken1
㡊	kheap4
㡋	jaep4
㡏	srju3
㡏	srju1
㡑	tshjew1
㡑	tsew2
㡒	dwon2
㡒	drwin1
㡒	trwin1
㡓	kwon1
㡔	muwk4
㡔	mu1
㡔	mju3
㡗	dej1
㡗	xej1
㡘	ljem1
㡙	pej1
㡜	sjwet4
㡜	sjet4
㡜	srjej3
㡝	bjowng3
㡟	tshaw1
㡟	tsaw1
㡥	jïn3
㡧	traeng3
㡨	tshjem1
㡨	tsjem1
㡯	draek4
㡲	hwaen1
㡷	pwon2
㡹	tshje3
㡺	tan3
㡼	yij3
㡿	tsyhek4
㢀	tshje3
㢁	tsyhe2
㢂	ngjaem2
