	baxter1992	baxter-sagart	jinlixin	lifanggui	msoeg	msoegDK	schuesslerLHC	schuesslerOC	starostinLO	starostinTK	wangli	zhengzhang	zhoufagao	MC
蠆	(C-)hrjats	mə-r̥ˤa[t]-s	sra̠s	tʰradh	ɹ̥ˁaθ（chài）	r̥ˤath❓	ʈʰas	tʰâts⸗r̥âts	r̥aːtɕ（chài）	srʰaːtɕ（chài）	tʰeat	m̥ʰraːds	tʰrar	徹開二夬去
厲	(C-)hrjats⸗C-rjats	[r]at-s	ra̠s	ljadh	ɹaθ（lì）⸗ɹaθ（lì）⸗ɹaθ（lì）	rath	ljas	rats	ratɕ（lì）	ratɕ（lì）	lǐat	m·rads	liar	來開三祭去
輪	(C-)rwjɨn	[r]u[n]		ljən	ɹun（lún）	run	lʷin	run	rwən（lún）	run（lún）	lǐwən	run	liwən	來合三真平
眔	(g-)lɨp	m-rˤəp		dəp	ɫˁəp（tà）	lˤəp	dəp	lə̂p				l'uːb	dəp	定開一覃入入
逮	(g-)lɨps⸗(g)lɨts	m-rˤəp-s	zɯs	diədh⸗dədh	ɫˁəθ（dài）	lˤəph	dəs⸗jis⸗des	lə̂s⸗lîs⸗lə̂ts	lʱəːtɕ（dài）	lʱəːtɕ（dài）	dat	l'ɯːds⸗l'ɯːds	der⸗dər	定開一咍去⸗定開四齊去
隶	(g-)lɨps⸗(g)lɨts	m-rˤəp-s		rədh⸗dədh	ɫˁəθ（dài）	lˁəph❓	dəs⸗jis	lə̂s				lɯds	riər	以開三脂去⸗定開一咍去
萏	(g-)lomʔ	rˤomʔ	zomʔ		ɫˁəmʔ（dàn）	lˤəmʔ	dəmᴮ	lə̂mʔ		l⁽ʱ⁾əːmʔ（dàn）	dam	l'oːmʔ	dəm	定開一覃上
路	(g-)ras⸗g-raks	Cə.rˤak-s	lah	glagh	ɹˁah（lù）	rˤakh	lɑᶜ	râkh	raːh（lù）	raːh（lù）	la	g·raːgs	laɣ	來一模去
皇	(g)ʷaŋ	[ɢ]ʷˤaŋ	ʁaŋ	gwaŋ	wˁaŋ（huáng）⸗wˁaŋ（huáng）	wˤaŋ	ɣʷɑŋ	wâŋ	w⁽ʱ⁾aːŋ（huáng）	w⁽ʱ⁾aːŋ（huáng）	ɣuaŋ	gʷaːŋ	gwaŋ	匣合一唐平
獲	(g)ʷrak	m-qʷˤrak	ʁrak	gwrak	wʴˁak（huò）	wrˤak❓	ɣʷak	gʷrâk⸗wâk	whraːk（huò）	wʱraːk（huò）	ɣoək	ɢʷraːg⸗ɢʷreːg		匣合二耕入入
環	(g)ʷren	C.ɢʷˤ<r>en	ɢ/l/on	gwran	wʴˁɛn（huán）	wrˤen	ɣʷan	wên	whreːn（huán）	wʱreːn（huán）	ɣoan	gʷraːn	grwan	匣合二刪平
